{'concept_name': {
'ID: 43587420 | Value: Pravastatin Oral Tablet [Pravalip] | COUNT: 218',
'ID: 36258182 | Value: atorvastatin 80 MG Oral Tablet [ATORVASTATINE TEVA SANTE] | COUNT: 209',
'ID: 41255475 | Value: atorvastatin 80 MG Oral Tablet [Atorva] | COUNT: 206',
'ID: 21172987 | Value: Simvastatin 40 MG Oral Tablet by TEVA | COUNT: 205',
'ID: 21133557 | Value: Simvastatin 10 MG Oral Tablet by Alliance | COUNT: 185',
'ID: 1539403 | Value: simvastatin | COUNT: 185',
'ID: 43527032 | Value: atorvastatin 20 MG / ezetimibe 10 MG Oral Tablet | COUNT: 167',
'ID: 1539463 | Value: simvastatin 10 MG Oral Tablet | COUNT: 166',
'ID: 1551860 | Value: pravastatin | COUNT: 165',
'ID: 1539407 | Value: simvastatin 40 MG Oral Tablet | COUNT: 146',
'ID: 21084624 | Value: fluvastatin 20 MG Oral Capsule [Lescol] by Mawdsley-Brooks | COUNT: 141',
'ID: 43262957 | Value: Simvastatin 20 MG [Simvacor] | COUNT: 116',
'ID: 43527029 | Value: atorvastatin 10 MG / ezetimibe 10 MG Oral Tablet | COUNT: 105',
'ID: 43268459 | Value: Simvastatin Oral Tablet [Simvacor] | COUNT: 104',
'ID: 1545998 | Value: atorvastatin 10 MG Oral Tablet [Lipitor] | COUNT: 104',
'ID: 1545996 | Value: atorvastatin 40 MG Oral Tablet | COUNT: 88',
'ID: 40749039 | Value: rosuvastatin 20 MG Oral Tablet by TEVA | COUNT: 70',
'ID: 35864661 | Value: simvastatin 10 MG Oral Capsule | COUNT: 66',
'ID: 21064969 | Value: Simvastatin 40 MG Oral Tablet by Ranbaxy | COUNT: 64',
'ID: 40165261 | Value: rosuvastatin calcium 5 MG Oral Tablet | COUNT: 60',
'ID: 40175394 | Value: pravastatin sodium 20 MG Oral Tablet | COUNT: 55',
'ID: 40165262 | Value: rosuvastatin calcium 5 MG Oral Tablet [Crestor] | COUNT: 53',
'ID: 40175390 | Value: pravastatin sodium 10 MG Oral Tablet | COUNT: 52',
'ID: 1510813 | Value: rosuvastatin | COUNT: 47',
'ID: 19123592 | Value: atorvastatin 20 MG Oral Tablet | COUNT: 44',
'ID: 21052385 | Value: atorvastatin 20 MG Oral Tablet by TEVA | COUNT: 38',
